Date,Event,PPV Buys,,
5/30/1997,UFC 13: The Ultimate Force,N/A,,
7/27/1997,UFC 14: Showdown,N/A,,
10/17/1997,UFC 15: Collision Course,N/A,,
3/13/1998,UFC 16: Battle in the Bayou,N/A,,
5/15/1998,UFC 17: Redemption,N/A,,
1/8/1999,UFC 18: The Road to the Heavyweight Title,N/A,,
3/5/1999,UFC 19: Ultimate Young Guns,N/A,,
5/7/1999,UFC 20: Battle for the Gold,N/A,,
7/16/1999,UFC 21: Return of the Champions,N/A,,
9/24/1999,UFC 22: Only One Can be Champion,N/A,,
11/19/1999,UFC 23: Ultimate Japan 2,N/A,,
3/10/2000,UFC 24: First Defense,N/A,,
4/14/2000,UFC 25: Ultimate Japan 3,N/A,,
6/9/2000,UFC 26: Ultimate Field of Dreams,N/A,,
9/22/2000,UFC 27: Ultimate Bad Boyz,N/A,,
11/17/2000,UFC 28: High Stakes,N/A,,
12/16/2000,UFC 29: Defense of the Belts,N/A,,
2/23/2001,UFC 30: Battle on the Boardwalk,N/A,,
5/4/2001,UFC 31: Locked and Loaded,N/A,,
6/29/2001,UFC 32: Showdown in the Meadowlands,N/A,,
4/21/2007,UFC 70: Nations Collide,N/A,,
9/8/2007,UFC 75: Champion vs. Champion,N/A,,
10/18/2008,UFC 89: Bisping vs. Leben,N/A,,
2/21/2009,UFC 95: Sanchez vs. Stevenson,N/A,,
11/14/2009,UFC 105: Couture vs. Vera,N/A,,
10/16/2010,UFC 120: Bisping vs. Akiyama,N/A,,
11/13/2010,UFC 122: Marquardt vs. Okami,N/A,,
11/5/2011,UFC 138: Leben vs. Muñoz,N/A,,
11/12/1993,UFC 1: The Beginning,"86,000",,
3/11/1994,UFC 2: No Way Out,"300,000",,
9/9/1994,UFC 3: The American Dream,"90,000",,
12/16/1994,UFC 4: Revenge of the Warriors,"120,000",,
4/7/1995,UFC 5: The Return of the Beast,"260,000",,
7/14/1995,UFC 6: Clash of the Titans,"240,000",,
9/8/1995,UFC 7: The Brawl in Buffalo,"190,000",,
2/16/1996,UFC 8: David vs. Goliath,"300,000",,
5/17/1996,UFC 9: Motor City Madness,"141,000",,
7/12/1996,UFC 10: The Tournament,"96,000",,
9/20/1996,UFC 11: The Proving Ground,"92,000",,
2/7/1997,UFC 12: Judgement Day,"122,000",,
9/28/2001,UFC 33: Victory in Vegas,"75,000",,
11/2/2001,UFC 34: High Voltage,"65,000",,
1/11/2002,UFC 35: Throwdown,"35,000",,
3/22/2002,UFC 36: Worlds Collide,"55,000",,
5/10/2002,UFC 37: High Impact,"50,000",,
7/13/2002,UFC 38: Brawl at the Hall,"45,000",,
9/27/2002,UFC 39: The Warriors Return,"45,000",,
11/22/2002,UFC 40: Vendetta,"100,000",,
2/28/2003,UFC 41: Onslaught,"60,000",,
4/25/2003,UFC 42: Sudden Impact,"35,000",,
6/6/2003,UFC 43: Meltdown,"49,000",,
9/26/2003,UFC 44: Undisputed,"94,000",,
11/21/2003,UFC 45: Revolution,"40,000",,
1/31/2004,UFC 46: Supernatural,"80,000",,
4/2/2004,UFC 47: It's On!,"105,000",,
6/19/2004,UFC 48: Payback,"110,000",,
8/21/2004,UFC 49: Unfinished Business,"80,000",,
10/22/2004,UFC 50: The War of '04,"40,000",,
2/5/2005,UFC 51: Super Saturday,"105,000",,
